Ano,gap_bruto_log,gap_bruto_pct,tx_emp_negro,tx_emp_branco,tx_form_negro,tx_form_branco,delta_emp_negro,delta_emp_branco,delta_gap,marco
2016,-0.4412374496459961,-35.67600486609002,0.8021353654330136,0.8597822776242315,0.45559116880014333,0.5232170926085804,,,,
2017,-0.43970680236816406,-35.57747212784277,0.7831432683966866,0.8469148582034082,0.45030095123717634,0.5107404864784827,-0.018992097036326983,-0.012867419420823367,0.0015306472778320312,
2018,-0.4394364356994629,-35.56005206879712,0.7870515260563301,0.8491789828998723,0.445389060202874,0.5024070843362851,0.0039082576596435326,0.002264124696464087,0.0002703666687011719,
2019,-0.44220399856567383,-35.73814711749521,0.7923540583475422,0.8538935822481429,0.43878521845651286,0.4950016042855349,0.005302532291212136,0.004714599348270676,-0.0027675628662109375,Pré-COVID
2020,-0.4306197166442871,-34.9893911702151,0.7763398708823853,0.8347933144048776,0.45919581401660636,0.5060566391038495,-0.016014187465156926,-0.01910026784326535,0.011584281921386719,COVID (choque)
2021,-0.4219822883605957,-34.425434637885424,0.7962374226463225,0.8476084163240805,0.4318073275567988,0.481633854821511,0.01989755176393715,0.012815101919202876,0.008637428283691406,Pós-COVID (recuperação)
2022,-0.421480655670166,-34.39253204041977,0.8380847848746253,0.8812589334950165,0.42988431525910836,0.48205580011082816,0.041847362228302876,0.033650517170936034,0.0005016326904296875,
2023,-0.42267513275146484,-34.47085187232536,0.8566548981903535,0.8958308325772908,0.4385858489472931,0.4840406470370105,0.01857011331572811,0.014571899082274298,-0.0011944770812988281,
2024,-0.4296426773071289,-34.92584220819328,0.8718838128002397,0.9050318844727985,0.4385132239800058,0.48498192113417893,0.01522891460988629,0.009201051895507684,-0.0069675445556640625,
2025,-0.43062686920166016,-34.98985616066167,0.8840928091699423,0.9154461042891733,0.44596786082854195,0.48805197795482924,0.012208996369702518,0.010414219816374803,-0.00098419189453125,
