"effect","term","estimate","std.error","statistic","p.value","conf.low","conf.high","modelo"
"fixed","(Intercept)",0.0293762623219538,0.000547222026447816,-189.368789545542,0,0.0283230700192596,0.0304686175411574,"M1_GLMM"
"fixed","negro",0.692752246956756,0.011384686395523,-22.3368006380075,1.62256397868156e-110,0.67079420471777,0.715429072416553,"M1_GLMM"
"fixed","sexo_fem",0.810249570929845,0.0144376280606987,-11.8085197318294,3.52716338209457e-32,0.78244076502254,0.83904673240419,"M1_GLMM"
"fixed","edu_anos_c",1.19136051355366,0.0127314270072325,16.3848398280691,2.45414586109317e-60,1.16666688289657,1.21657680873819,"M1_GLMM"
"fixed","idade_c",1.00783878930025,0.000724493734580377,10.8619747401561,1.74924991318569e-27,1.00641980753632,1.00925977172953,"M1_GLMM"
"fixed","I(idade_c^2)",1.00045455651762,3.81555021810202e-05,11.915969828569,9.77224181496631e-33,1.00037977590247,1.00052934272278,"M1_GLMM"
"fixed","horas_c",1.00943013180109,0.000705540022058063,13.4286590227553,4.10782693080709e-41,1.00804824551739,1.0108139124482,"M1_GLMM"
"fixed","emprego_formal",2.1354481195601,0.0355235249254339,45.6068012504114,0,2.0669460893567,2.20622042094578,"M1_GLMM"
"fixed","setor_publico",3.9069504102113,0.0975339083184508,54.5884461542545,0,3.72038881159258,4.10286727566954,"M1_GLMM"
"fixed","(Intercept)",0.0304170881703671,0.000564021765721512,-188.36029563379,0,0.029331472825841,0.0315428842682862,"M2_GLMM"
"fixed","negro",0.78887930740072,0.013183862442719,-14.1897997902095,1.05960812471457e-45,0.763458024219896,0.815147057077485,"M2_GLMM"
"fixed","sexo_fem",0.778359398625641,0.0138878035913359,-14.0433372144713,8.46315329469041e-45,0.751610244995936,0.806060531322514,"M2_GLMM"
"fixed","edu_anos_c",1.16692662997368,0.0127396493100498,14.1403049018767,2.14353641888521e-45,1.14222262010953,1.19216493857489,"M2_GLMM"
"fixed","idade_c",1.00323638214434,0.000729046061199022,4.44637693137242,8.7330660139708e-06,1.00180849522842,1.00466630424069,"M2_GLMM"
"fixed","I(idade_c^2)",1.00036047002651,3.85751893200666e-05,9.34629212138983,9.07742361633525e-21,1.00028486690177,1.00043607886545,"M2_GLMM"
"fixed","horas_c",1.00701206435276,0.000713621789627381,9.86039344110315,6.18067249999524e-23,1.005614362229,1.00841170914092,"M2_GLMM"
"fixed","emprego_formal",1.93002018065057,0.0323445723297849,39.2352399230299,0,1.86765581288232,1.99446700619305,"M2_GLMM"
"fixed","setor_publico",4.42190882993841,0.111608687685353,58.8975968004139,0,4.20848238016366,4.6461588606026,"M2_GLMM"
"fixed","renda_media_upa_c",1.61530338280854,0.0201009302065102,38.5342757951813,0,1.57638284703295,1.65518485780514,"M2_GLMM"
"fixed","edu_media_upa_c",0.919458839466931,0.00940477047315864,-8.20934003121211,2.22407559236282e-16,0.901209368992573,0.938077861328628,"M2_GLMM"
