,M0_Nulo,M1_Individual,M2_Localidade,M3_Completo
Intercept,"7.5175***
(0.0279)","7.9615***
(0.0265)","7.9385***
(0.0270)","7.9282***
(0.0272)"
negro,—,"-0.1142***
(0.0041)","-0.1128***
(0.0041)","-0.1128***
(0.0041)"
sexo_fem,—,"-0.2804***
(0.0036)","-0.2804***
(0.0036)","-0.2804***
(0.0036)"
idade_c,—,"0.0054***
(0.0002)","0.0054***
(0.0002)","0.0054***
(0.0002)"
idade_sq,—,"-0.0007***
(0.0000)","-0.0007***
(0.0000)","-0.0007***
(0.0000)"
educ_fund_completo,—,"-0.5955***
(0.0268)","-0.5948***
(0.0268)","-0.5946***
(0.0268)"
educ_medio_completo,—,"-0.4387***
(0.0110)","-0.4387***
(0.0110)","-0.4388***
(0.0110)"
educ_superior_completo,—,"-0.3739***
(0.0047)","-0.3737***
(0.0047)","-0.3737***
(0.0047)"
educ_pos_graduacao,—,"-0.3763***
(0.0216)","-0.3761***
(0.0216)","-0.3762***
(0.0216)"
pct_negro_upa_z,—,—,"-0.2179***
(0.0277)","-0.1847***
(0.0420)"
tx_desemprego_upa_z,—,—,"-0.0209
(0.0344)","-0.0005
(0.0358)"
media_educ_upa_z,—,—,"-0.0067
(0.0270)","-0.0186
(0.0273)"
pct_negro_uf_z,—,—,—,"-0.0179
(0.0443)"
tx_desemprego_uf_z,—,—,—,"-0.0823*
(0.0331)"
media_educ_uf_z,—,—,—,"0.0723*
(0.0290)"
σ² (Nível 1),0.4955,0.4372,0.4370,0.4369
τ²_UPA (Nível 2),7.9275,6.9949,6.9917,6.9910
τ²_UF (Nível 3),0.0000,0.0000,0.0000,0.0000
ICC_UPA,0.9412,0.9412,0.9412,0.9412
ICC_UF,0.0000,0.0000,0.0000,0.0000
N (obs.),"150,267","150,267","150,267","150,267"
N (UPAs),"10,194","10,194","10,194","10,194"
N (UFs),27,27,27,27
Log-Likelihood,-188177.20,-178774.26,-178739.03,-178732.11
AIC,376360.41,357570.51,357506.05,357498.21
BIC,376390.17,357679.64,357644.94,357666.85
