,M0_Nulo,M1_Individual,M2_Localidade,M3_Completo,M4_Ocupacao,M1_Individual_OLS,M2_Localidade_OLS,M3_Completo_OLS,M4_Ocupacao_OLS
Intercept,7.2696*** (0.0556),7.8859*** (0.0476),7.8461*** (0.0353),7.8079*** (0.0326),7.2318*** (0.0246),8.0337*** (0.0120),8.0124*** (0.0215),358162653.1432 (nan),284991589.1146 (nan)
negro,-,-0.2170*** (0.0014),-0.0999*** (0.0015),-0.0999*** (0.0015),-0.0554*** (0.0012),-0.2170*** (0.0098),-0.0999*** (0.0047),-0.0999*** (0.0042),-0.0554*** (0.0049)
sexo_fem,-,-0.2724*** (0.0013),-0.2707*** (0.0013),-0.2707*** (0.0013),-0.2185*** (0.0012),-0.2724*** (0.0140),-0.2707*** (0.0126),-0.2707*** (0.0121),-0.2185 (nan)
idade_c,-,0.0120*** (0.0001),0.0106*** (0.0001),0.0106*** (0.0001),0.0111*** (0.0000),0.0120*** (0.0003),0.0106*** (0.0002),0.0106 (nan),0.0111 (nan)
idade_sq,-,-0.0007*** (0.0000),-0.0007*** (0.0000),-0.0007*** (0.0000),-0.0004*** (0.0000),-0.0007*** (0.0000),-0.0007*** (0.0000),-0.0007 (nan),-0.0004 (nan)
educ_fund_completo,-,-1.0394*** (0.0081),-0.9676*** (0.0079),-0.9676*** (0.0079),-0.5284*** (0.0066),-1.0394*** (0.0395),-0.9675*** (0.0317),-0.9675*** (0.0320),-0.5284*** (0.0179)
educ_medio_completo,-,-0.8064*** (0.0035),-0.7514*** (0.0034),-0.7514*** (0.0034),-0.3780*** (0.0029),-0.8064*** (0.0203),-0.7514*** (0.0158),-0.7514 (nan),-0.3780*** (0.0096)
educ_superior_completo,-,-0.6145*** (0.0016),-0.5711*** (0.0015),-0.5711*** (0.0015),-0.2342*** (0.0014),-0.6145*** (0.0193),-0.5711*** (0.0175),-0.5711*** (0.0180),-0.2342*** (0.0026)
educ_pos_graduacao,-,-0.7177*** (0.0073),-0.6639*** (0.0072),-0.6639*** (0.0072),-0.3129*** (0.0060),-0.7177*** (0.0318),-0.6639*** (0.0301),-0.6639*** (0.0301),-0.3129*** (0.0134)
pct_negro_upa_z,-,-,-0.2894*** (0.0013),-0.2894*** (0.0013),-0.1644*** (0.0011),-,-0.2894*** (0.0371),-0.2894*** (0.0361),-0.1644*** (0.0223)
tx_desemprego_upa_z,-,-,-0.0528*** (0.0008),-0.0528*** (0.0008),-0.0748*** (0.0007),-,-0.0528*** (0.0151),-0.0528*** (0.0131),-0.0748*** (0.0085)
media_educ_upa_z,-,-,0.0223*** (0.0007),0.0223*** (0.0007),0.0245*** (0.0006),-,0.0223 (0.0147),0.0223 (0.0146),0.0245** (0.0088)
pct_negro_uf_z,-,-,-,0.0375 (0.0438),0.0005 (0.0329),-,-,-525484459.6790 (nan),-427939118.9867 (659526506375.6301)
tx_desemprego_uf_z,-,-,-,-0.0556 (0.0367),-0.0490 (0.0276),-,-,-238498404.3094 (221536191264.7703),-195573982.1747 (nan)
media_educ_uf_z,-,-,-,0.0903*** (0.0273),0.0740*** (0.0206),-,-,-328662979.1733 (nan),-263643426.8369 (352206754659.2521)
horas_c,-,-,-,-,0.0201*** (0.0000),-,-,-,0.0201*** (0.0004)
emprego_formal,-,-,-,-,0.2108*** (0.0014),-,-,-,0.2108*** (0.0134)
conta_propria,-,-,-,-,-0.1842*** (0.0016),-,-,-,-0.1842*** (0.0199)
trab_domestico,-,-,-,-,-0.1267*** (0.0025),-,-,-,-0.1267*** (0.0034)
ocp_dirigente,-,-,-,-,0.8613*** (0.0032),-,-,-,0.8613*** (0.0184)
ocp_profissional,-,-,-,-,1.0179*** (0.0023),-,-,-,1.0179*** (0.0155)
ocp_tecnico,-,-,-,-,0.5945*** (0.0024),-,-,-,0.5945*** (0.0208)
ocp_administrativo,-,-,-,-,0.3498*** (0.0025),-,-,-,0.3498 (nan)
ocp_servicos,-,-,-,-,0.2274*** (0.0018),-,-,-,0.2274*** (0.0121)
ocp_agro,-,-,-,-,-0.0238*** (0.0024),-,-,-,-0.0238 (0.0372)
ocp_operario,-,-,-,-,0.2450*** (0.0021),-,-,-,0.2450*** (0.0159)
ocp_operador,-,-,-,-,0.2567*** (0.0023),-,-,-,0.2567*** (0.0169)
ocp_ffaa,-,-,-,-,1.0064*** (0.0056),-,-,-,1.0064 (nan)
sigma2 (Nivel 1),0.7653,0.6329,0.6037,0.6037,0.4127,0.6329,0.6037,0.6037,0.4127
tau2_UF (Nivel 3),0.08342,0.06109,0.03365,0.02504,0.01414,FE,FE,FE,FE
ICC_UF,0.0983,0.0880,0.0528,0.0398,0.0331,FE,FE,FE,FE
N (obs.),"1,537,885","1,537,885","1,537,885","1,537,885","1,537,885","1,537,885","1,537,885","1,537,885","1,537,885"
Log-Likelihood,-1976646.50,-1830562.34,-1794326.93,-1794327.43,-1501815.21,-1830383.44,-1794135.83,-1794140.37,-1501554.92
AIC,N/D,N/D,N/D,N/D,N/D,3660836.88,3588347.65,3588356.74,3003211.84
