Modelo,LL,Tipo,k,Descricao,AIC,BIC
OLS Nulo,-2072459.0026371565,OLS,2.0,Apenas intercepto,4144922.005274313,4144946.504416108
OLS Individual,-1830383.44,OLS,10.0,Controles individuais,3660786.88,3660909.3757089744
OLS + FE (UF),-1842380.3641351503,OLS,36.0,Controles + 26 dummies UF,3684832.7282703007,3685273.712822608
OLS Contextual,-1794140.37,OLS,16.0,Controles + variáveis de contexto,3588312.74,3588508.733134359
OLS Completo,-1501554.92,OLS,29.0,Controles + ocupação (M4),3003167.84,3003523.0775560252
HLM Nulo,-1976646.5,HLM,3.0,Intercepto aleatório UF,3953299.0,3953335.7487126924
HLM Individual,-1830562.34,HLM,12.0,Controles + efeito aleatório UF,3661148.68,3661295.6748507693
HLM Contextual,-1794326.93,HLM,15.0,Controles + UPA + efeito aleatório UF,3588683.86,3588867.6035634615
HLM Completo,-1794327.43,HLM,18.0,M2 + variáveis nível UF,3588690.86,3588911.352276154
HLM Ocupação,-1501815.21,HLM,31.0,M3 + grupos CBO + formalidade (M4),3003692.42,3004072.1566978204
