node,race,gender,race_gen,educ_label,educ_grp,n_workers,mean_renda,degree_centrality,betweenness,eigenvector,clustering,constraint,community
Branco_Sem_Instr_Fem,Branco,Fem,Branco_Fem,Sem_Instr,0,1173718,7.6121,1.0,0.0,0.3097,0.3556,4.014086,0
Branco_Fundamental_Fem,Branco,Fem,Branco_Fem,Fundamental,1,2287,6.4277,1.0,0.7836,0.0256,0.0923,2.094426,0
Branco_Medio_Fem,Branco,Fem,Branco_Fem,Medio,2,43531,6.7578,1.0,0.0,0.157,0.2572,3.58332,0
Branco_Superior_Fem,Branco,Fem,Branco_Fem,Superior,3,205164,6.9213,1.0,0.0,0.2753,0.3477,3.819587,0
Branco_Pos_Fem,Branco,Fem,Branco_Fem,Pos,4,7088,6.8154,1.0,0.0175,0.0594,0.1502,2.783836,0
Branco_Sem_Instr_Masc,Branco,Masc,Branco_Masc,Sem_Instr,0,1276460,7.837,1.0,0.0,0.3149,0.3588,3.995267,0
Branco_Fundamental_Masc,Branco,Masc,Branco_Masc,Fundamental,1,8367,6.5949,1.0,0.0,0.0641,0.1617,2.503386,0
Branco_Medio_Masc,Branco,Masc,Branco_Masc,Medio,2,106958,7.2199,1.0,0.0,0.2126,0.3064,3.67337,0
Branco_Superior_Masc,Branco,Masc,Branco_Masc,Superior,3,440871,7.291,1.0,0.0,0.3048,0.3629,3.856436,0
Branco_Pos_Masc,Branco,Masc,Branco_Masc,Pos,4,11200,7.1878,1.0,0.0,0.0841,0.1866,2.899912,0
Negro_Sem_Instr_Fem,Negro,Fem,Negro_Fem,Sem_Instr,0,1335370,7.2213,1.0,0.0,0.3168,0.3588,4.004568,0
Negro_Fundamental_Fem,Negro,Fem,Negro_Fem,Fundamental,1,8183,6.0663,1.0,0.0,0.0664,0.163,2.595429,0
Negro_Medio_Fem,Negro,Fem,Negro_Fem,Medio,2,51554,6.4705,1.0,0.0,0.2007,0.3002,3.583619,0
Negro_Superior_Fem,Negro,Fem,Negro_Fem,Superior,3,362738,6.629,1.0,0.0,0.3048,0.3621,3.871249,0
Negro_Pos_Fem,Negro,Fem,Negro_Fem,Pos,4,15559,6.5036,1.0,0.0,0.1085,0.2173,3.013486,0
Negro_Sem_Instr_Masc,Negro,Masc,Negro_Masc,Sem_Instr,0,1610561,7.3947,1.0,0.0,0.3184,0.3592,4.006627,0
Negro_Fundamental_Masc,Negro,Masc,Negro_Masc,Fundamental,1,31879,6.356,1.0,0.0,0.1216,0.2312,3.034004,0
Negro_Medio_Masc,Negro,Masc,Negro_Masc,Medio,2,128222,6.8733,1.0,0.0,0.2564,0.3405,3.694547,0
Negro_Superior_Masc,Negro,Masc,Negro_Masc,Superior,3,872171,6.9635,1.0,0.0,0.3152,0.3641,3.915904,0
Negro_Pos_Masc,Negro,Masc,Negro_Masc,Pos,4,25680,6.8593,1.0,0.0,0.1414,0.2526,3.183033,0
