predictor,label,VIF,nivel
ocp_servicos,CBO: Serviços/Vendas,2.09,Moderado (2–5)
ocp_profissional,CBO: Profissionais,1.85,Baixo (<2)
ocp_agro,CBO: Agropecuária,1.82,Baixo (<2)
conta_propria,Conta-própria,1.81,Baixo (<2)
ocp_operario,CBO: Operários,1.8,Baixo (<2)
pct_negro_upa_z,% Negro na UPA (z),1.77,Baixo (<2)
emprego_formal,Emprego formal (carteira),1.74,Baixo (<2)
ocp_administrativo,CBO: Administrativo,1.61,Baixo (<2)
ocp_tecnico,CBO: Técnicos,1.57,Baixo (<2)
ocp_operador,CBO: Op. Máquinas,1.54,Baixo (<2)
urbano,Área urbana,1.42,Baixo (<2)
trab_domestico,Trabalho doméstico,1.41,Baixo (<2)
negro,Raça (negro),1.37,Baixo (<2)
tx_desemprego_upa_z,Desemprego UPA (z),1.36,Baixo (<2)
ocp_dirigente,CBO: Dirigentes,1.31,Baixo (<2)
sexo_fem,Gênero (feminino),1.3,Baixo (<2)
educ_superior_completo,Educ.: Superior,1.27,Baixo (<2)
log_horas,Log horas trabalhadas,1.13,Baixo (<2)
media_educ_upa_z,Educ. média UPA (z),1.12,Baixo (<2)
educ_medio_completo,Educ.: Médio,1.1,Baixo (<2)
ocp_ffaa,CBO: FFAA/Polícia,1.09,Baixo (<2)
educ_fund_completo,Educ.: Fundamental,1.03,Baixo (<2)
educ_pos_graduacao,Educ.: Pós-graduação,1.01,Baixo (<2)
